#
# <customer country code>;<product type>;<store country code>[;<lang>...]
# where country codes are assumed to be iso3166-alpha2
# and product type is either (P)hysical or (D)digital
#
XK;P;US
XK;D;US
AN;P;US
AN;D;US
LA;P;US
LA;D;US
LY;P;US
LY;D;US
RU;P;GB
RU;D;GB
BN;P;US
BN;D;US
IR;P;GB
IR;D;GB
MD;P;US
MD;D;US
FM;P;US
FM;D;US
TZ;P;US
TZ;D;US
SY;P;US
SY;D;US
MO;P;US
MO;D;US
RE;P;FR
RE;D;FR
A1;P;US
A1;D;US
A2;P;US
A2;D;US
O1;P;US
O1;D;US
AD;P;FR
AD;D;FR
AE;P;US
AE;D;US
AF;P;US
AF;D;US
AG;P;US
AG;D;US
AI;P;US
AI;D;US
AL;P;US
AL;D;US
AM;P;US
AM;D;US
AO;P;US
AO;D;US
AP;P;US
AP;D;US
AQ;P;US
AQ;D;US
AR;P;US
AR;D;US
AS;P;US
AS;D;US
AT;P;DE
AT;D;DE
AU;P;US
AU;D;AU
AW;P;US
AW;D;US
AX;P;US
AX;D;US
AZ;P;US
AZ;D;US
BA;P;US
BA;D;US
BB;P;US
BB;D;US
BD;P;US
BD;D;US
BE;P;FR
BE;D;FR
BF;P;US
BF;D;US
BG;P;IT
BG;D;IT
BH;P;US
BH;D;US
BI;P;US
BI;D;US
BJ;P;US
BJ;D;US
BL;P;US
BL;D;US
BM;P;US
BM;D;US
BN;P;US
BN;D;US
BO;P;US
BO;D;US
BQ;P;US
BQ;D;US
BR;P;BR
BR;D;BR
BS;P;US
BS;D;US
BT;P;US
BT;D;US
BV;P;US
BV;D;US
BW;P;US
BW;D;US
BY;P;US
BY;D;US
BZ;P;US
BZ;D;US
CA;P;CA
CA;D;CA
CC;P;US
CC;D;US
CC;P;US
CC;D;US
CD;P;US
CD;D;US
CD;P;US
CD;D;US
CD;P;US
CD;D;US
CF;P;US
CF;D;US
CG;P;US
CG;D;US
CH;P;DE;fr=FR;it=IT
CH;D;DE;fr=FR;it=IT
CI;P;US
CI;D;US
CI;P;US
CI;D;US
CK;P;US
CK;D;US
CL;P;US
CL;D;US
CM;P;US
CM;D;US
CN;P;CN
CN;D;CN
CO;P;US
CO;D;US
CR;P;US
CR;D;US
CU;P;US
CU;D;US
CV;P;US
CV;D;US
CW;P;US
CW;D;US
CX;P;US
CX;D;US
CY;P;GB
CY;D;GB
CZ;P;GB
CZ;D;GB
DE;P;DE
DE;D;DE
DJ;P;US
DJ;D;US
DK;P;GB
DK;D;GB
DM;P;US
DM;D;US
DO;P;US
DO;D;US
DZ;P;US
DZ;D;US
EC;P;US
EC;D;US
EE;P;GB
EE;D;GB
EG;P;US
EG;D;US
EH;P;US
EH;D;US
ER;P;US
ER;D;US
ES;P;ES
ES;D;ES
ET;P;US
ET;D;US
EU;P;UK;de=DE;fr=FR;it=IT;es=ES
EU;D;UK;de=DE;fr=FR;it=IT;es=ES
FI;P;GB
FI;D;GB
FJ;P;US
FJ;D;US
FK;P;US
FK;D;US
FK;P;US
FK;D;US
FM;P;US
FM;D;US
FO;P;US
FO;D;US
FR;P;FR
FR;D;FR
GA;P;US
GA;D;US
GB;P;GB
GB;D;GB
GD;P;US
GD;D;US
GE;P;US
GE;D;US
GF;P;US
GF;D;US
GG;P;US
GG;D;US
GH;P;US
GH;D;US
GI;P;US
GI;D;US
GL;P;US
GL;D;US
GM;P;US
GM;D;US
GN;P;US
GN;D;US
GP;P;US
GP;D;US
GQ;P;US
GQ;D;US
GR;P;GB
GR;D;GB
GS;P;US
GS;D;US
GT;P;US
GT;D;US
GU;P;US
GU;D;US
GW;P;US
GW;D;US
GY;P;US
GY;D;US
HK;P;US
HK;D;US
HM;P;US
HM;D;US
HN;P;US
HN;D;US
HR;P;GB
HR;D;GB
HT;P;US
HT;D;US
HU;P;GB
HU;D;GB
ID;P;US
ID;D;US
IE;P;GB
IE;D;GB
IL;P;US
IL;D;US
IM;P;US
IM;D;US
IN;P;IN
IN;D;IN
IO;P;US
IO;D;US
IQ;P;US
IQ;D;US
IR;P;GB
IR;D;GB
IS;P;US
IS;D;US
IT;P;IT
IT;D;IT
JE;P;US
JE;D;US
JM;P;US
JM;D;US
JO;P;US
JO;D;US
JP;P;JP
JP;D;JP
KE;P;US
KE;D;US
KG;P;US
KG;D;US
KH;P;US
KH;D;US
KI;P;US
KI;D;US
KM;P;US
KM;D;US
KN;P;US
KN;D;US
KP;P;US
KP;D;US
KP;P;US
KP;D;US
KR;P;US
KR;D;US
KR;P;US
KR;D;US
KW;P;US
KW;D;US
KY;P;US
KY;D;US
KZ;P;US
KZ;D;US
LA;P;US
LA;D;US
LB;P;US
LB;D;US
LC;P;US
LC;D;US
LI;P;DE
LI;D;DE
LK;P;US
LK;D;US
LR;P;US
LR;D;US
LS;P;US
LS;D;US
LT;P;GB
LT;D;GB
LU;P;DE
LU;D;DE
LV;P;GB
LV;D;GB
LY;P;US
LY;D;US
MA;P;US
MA;D;US
MC;P;US
MC;D;US
MD;P;US
MD;D;US
ME;P;US
ME;D;US
MF;P;US
MF;D;US
MG;P;US
MG;D;US
MH;P;US
MH;D;US
MK;P;US
MK;D;US
MK;P;US
MK;D;US
